2026-05-03 16:44:24 | INFO     | db           | Base de datos inicializada correctamente — ruta: C:\Users\ruizg\Desktop\PYTHON\TsenderPython\dapp_python\historial.db
2026-05-03 16:44:24 | INFO     | __main__     | Aplicación TSender iniciada
2026-05-03 16:44:26 | INFO     | web3_utils   | Wallet cargada — dirección: 0xa3387109E486822a0b7EB0b5d8bC6c556bC96c36
2026-05-03 16:44:28 | DEBUG    | db           | Historial consultado — 2 registros devueltos
2026-05-03 16:45:52 | INFO     | db           | Base de datos inicializada correctamente — ruta: C:\Users\ruizg\Desktop\PYTHON\TsenderPython\dapp_python\historial.db
2026-05-03 16:45:52 | INFO     | __main__     | Aplicación TSender iniciada
2026-05-03 16:45:52 | INFO     | web3_utils   | Wallet cargada — dirección: 0xa3387109E486822a0b7EB0b5d8bC6c556bC96c36
2026-05-03 16:45:55 | DEBUG    | db           | Historial consultado — 2 registros devueltos
2026-05-03 16:45:55 | DEBUG    | __main__     | Visor de logs actualizado manualmente por el usuario
2026-05-03 16:45:55 | INFO     | db           | Base de datos inicializada correctamente — ruta: C:\Users\ruizg\Desktop\PYTHON\TsenderPython\dapp_python\historial.db
2026-05-03 16:45:55 | INFO     | __main__     | Aplicación TSender iniciada
2026-05-03 16:45:55 | INFO     | web3_utils   | Wallet cargada — dirección: 0xa3387109E486822a0b7EB0b5d8bC6c556bC96c36
2026-05-03 16:45:57 | DEBUG    | db           | Historial consultado — 2 registros devueltos
2026-05-03 16:46:05 | INFO     | db           | Base de datos inicializada correctamente — ruta: C:\Users\ruizg\Desktop\PYTHON\TsenderPython\dapp_python\historial.db
2026-05-03 16:46:05 | INFO     | __main__     | Aplicación TSender iniciada
2026-05-03 16:46:05 | INFO     | web3_utils   | Wallet cargada — dirección: 0xa3387109E486822a0b7EB0b5d8bC6c556bC96c36
2026-05-03 16:46:07 | DEBUG    | db           | Historial consultado — 2 registros devueltos
2026-05-03 16:54:41 | INFO     | db           | Base de datos inicializada correctamente — ruta: C:\Users\ruizg\Desktop\PYTHON\TsenderPython\dapp_python\historial.db
2026-05-03 16:54:41 | INFO     | __main__     | Aplicación TSender iniciada
2026-05-03 16:54:41 | INFO     | web3_utils   | Wallet cargada — dirección: 0xa3387109E486822a0b7EB0b5d8bC6c556bC96c36
2026-05-03 16:54:42 | INFO     | db           | Base de datos inicializada correctamente — ruta: C:\Users\ruizg\Desktop\PYTHON\TsenderPython\dapp_python\historial.db
2026-05-03 16:54:42 | INFO     | __main__     | Aplicación TSender iniciada
2026-05-03 16:54:42 | INFO     | web3_utils   | Wallet cargada — dirección: 0xa3387109E486822a0b7EB0b5d8bC6c556bC96c36
2026-05-03 16:54:45 | DEBUG    | db           | Historial consultado — 2 registros devueltos
